job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,Cleaned_Salary,Cleaned_Revenue,Seniority_Binary,skills_parsed,work_type
data scientist,senior,hybrid,company_145,"New York, New York . Hybrid",a day ago,"San Jose, CA, US",Technology,Public,"2,760",Public,"€120,566 - €231,992",[],176279.0,,senior,,hybrid
data scientist,senior,on-site,company_774,"Fredericksburg, VA . Richmond, VA . San Francisco, CA . Seattle, WA",4 days ago,"Chevy Chase, MD, US",Technology,Private,"25,090",Private,"€100,469 - €210,068","['powerbi', 'r', 'python', 'java', 'sql', 'machine learning', 'tableau']",155268.5,,senior,java | machine learning | powerbi | python | r | sql | tableau,onsite
data scientist,senior,hybrid,company_782,"Munich, Germany . Hybrid",7 months ago,"OH, US",Manufacturing,Private,300,Private,"€62,797 - €72,216",[],67506.5,,senior,,hybrid
data scientist,senior,hybrid,company_785,United States . Hybrid,14 days ago,"Birmingham, AL, US",Technology,Private,"5,780",Private,"€112,343 - €225,595","['pytorch', 'spark', 'scikit-learn', 'python', 'sql', 'machine learning', 'tensorflow']",168969.0,,senior,machine learning | python | pytorch | scikit-learn | spark | sql | tensorflow,hybrid
data scientist,senior,hybrid,company_786,"Seattle, WA . Hybrid",18 days ago,"Seattle, WA, US",Retail,Public,"74,020",Public,"€147,962 - €271,261","['aws', 'python', 'scala', 'java', 'gcp', 'machine learning']",209611.5,,senior,aws | gcp | java | machine learning | python | scala,hybrid
data scientist,senior,on-site,company_793,"Pittsburgh, PA",2 months ago,"Pittsburgh, PA, US",Education,,"12,609",Education,"€74,793",['machine learning'],74793.0,,senior,machine learning,onsite
data scientist,senior,on-site,company_795,"Calgary, Alberta, Canada . Canada, Moyen-Chari, Chad . Greater Calgary Metropolitan Area",2 months ago,"Herndon, VA, US",Technology,Private,"3,550",Private,"€52,067","['scikit-learn', 'python']",52067.0,,senior,python | scikit-learn,onsite
data scientist,senior,on-site,company_796,"Augusta, GA",a month ago,"Columbia, MD, US",Technology,Private,150,Private,"€39,797 - €87,544","['machine learning', 'python']",63670.5,,senior,machine learning | python,onsite
data scientist,senior,on-site,company_797,"Toronto, Ontario, Canada",a month ago,"Toronto, ON, CA",Retail,Public,"20,600",Public,"€59,210","['git', 'python', 'airflow', 'sql', 'machine learning', 'hadoop', 'azure']",59210.0,,senior,airflow | azure | git | hadoop | machine learning | python | sql,onsite
data scientist,senior,hybrid,company_807,"Chicago, IL . Hybrid",7 days ago,"Chicago, IL, US",Healthcare,,"1,570",Nonprofit,"€76,471 - €101,121","['r', 'python', 'java', 'sql', 'machine learning', 'database', 'deep learning', 'tableau']",88796.0,,senior,database | deep learning | java | machine learning | python | r | sql | tableau,hybrid
data scientist,senior,on-site,company_226,"Henrietta, NY",3 months ago,"Rochester, NY, US",Education,,"9,260",Education,"€64,121 - €96,177",['machine learning'],80149.0,,senior,machine learning,onsite
data scientist,midlevel,on-site,company_796,"Denver, CO",a month ago,"Columbia, MD, US",Technology,Private,150,Private,"€55,940 - €123,063","['machine learning', 'python']",89501.5,,junior,machine learning | python,onsite
data scientist,senior,hybrid,company_662,Hybrid,13 days ago,"Redwood City, CA, US",Technology,Private,600,Private,"€195,456",[],195456.0,,senior,,hybrid
data scientist,,on-site,company_445,On-site,14 days ago,"Ventura, CA, US",Technology,Public,"2,270",Public,"€94,264 - €172,810",[],133537.0,,,,onsite
data scientist,lead,hybrid,company_814,"Chicago, IL . Hybrid",9 days ago,"Austin, TX, US",Logistics,Private,"1,260",Private,"€182,673 - €274,006",[],228339.5,,senior,,hybrid
data scientist,senior,on-site,company_816,"San Francisco, CA",4 days ago,"San Francisco, CA, US",Retail,Public,"117,030",Public,"€144,893 - €161,660","['aws', 'python', 'machine learning', 'azure', 'deep learning', 'tableau']",153276.5,,senior,aws | azure | deep learning | machine learning | python | tableau,onsite
data scientist,senior,hybrid,company_817,United States . Hybrid,7 days ago,"New York, NY, US",Education,,"3,510",Education,"€137,003 - €148,876","['pandas', 'aws', 'r', 'python', 'scikit-learn', 'sql', 'machine learning', 'gcp', 'azure']",142939.5,,senior,aws | azure | gcp | machine learning | pandas | python | r | scikit-learn | sql,hybrid
data scientist,senior,hybrid,company_706,"Los Angeles, CA . Hybrid",a month ago,"Los Angeles, CA, US",Technology,Private,150,Private,"€121,476 - €225,595",[],173535.5,,senior,,hybrid
data scientist,senior,remote,company_825,"Remote - US . San Diego, California, United States . Fully Remote",14 days ago,"San Diego, CA, US",Technology,Private,210,Private,"€144,750 - €229,724",[],187237.0,,senior,,remote
data scientist,senior,remote,company_832,"Torrance, CA",7 days ago,"Renton, WA, US",Healthcare,,"120,010",Nonprofit,"€159,835","['r', 'python', 'scala', 'sql', 'machine learning', 'database', 'azure', 'tableau']",159835.0,,senior,azure | database | machine learning | python | r | scala | sql | tableau,remote
data scientist,senior,hybrid,company_833,"Canada . Vancouver, BC, Canada . Hybrid",a month ago,"Vancouver, BC, CA",Technology,Private,98,Private,"€118,741 - €155,273",[],137007.0,,senior,,hybrid
